NORAD_CAT_ID,OBJECT_NAME,TLE_LINE1,TLE_LINE2,EPOCH
44714,STARLINK-1008,1 44714C 19074B   26210.04423611  .00047022  00000+0  59264-3 0  2102,2 44714  53.1475 227.4915 0005925 359.4392 152.4327 15.58936559    14,2026-07-29 04:38:21
44718,STARLINK-1012,1 44718C 19074F   26210.07340278  .00035214  00000+0  46601-3 0  2107,2 44718  53.1508 227.5497 0006712   0.8758  21.3382 15.57642795    19,2026-07-29 04:38:21
44723,STARLINK-1017,1 44723C 19074L   26210.03729167  .00069906  00000+0  20120-2 0  2109,2 44723  53.0438 233.5054 0001353  64.2608 275.8020 15.35174392    10,2026-07-29 04:38:21
44725,STARLINK-1020,1 44725C 19074N   26210.00256944  .00124230  00000+0  13987-2 0  2101,2 44725  53.1527 249.8637 0006035 348.9233 190.6312 15.61835940    17,2026-07-29 04:38:21
44741,STARLINK-1036,1 44741C 19074AE  26210.07340278  .00067876  00000+0  36488-3 0  2104,2 44741  53.0391 211.6651 0004513  50.8528   2.2325 15.79482815    11,2026-07-29 04:38:21
44744,STARLINK-1039,1 44744C 19074AH  26210.00951389  .00069727  00000+0  22113-2 0  2107,2 44744  53.0577 280.1753 0001785 306.4632 247.3901 15.32107393    14,2026-07-29 04:38:21
44747,STARLINK-1042,1 44747C 19074AL  26210.03798611  .00003066  00000+0  42384-4 0  2108,2 44747  53.0403 133.0813 0001376  76.6476  43.4257 15.56511555    10,2026-07-29 04:38:21
44748,STARLINK-1043,1 44748C 19074AM  26210.05326389  .00057743  00000+0  49999-3 0  2109,2 44748  53.0453 225.6347 0003767  40.2792 108.1093 15.68459211    10,2026-07-29 04:38:21
44751,STARLINK-1046,1 44751C 19074AQ  26210.06715278  .00058485  00000+0  67019-3 0  2100,2 44751  53.0430 249.7790 0004437 318.5631 220.4035 15.61422565    15,2026-07-29 04:38:21
44752,STARLINK-1047,1 44752C 19074AR  26210.00881944  .00049167  00000+0  13627-2 0  2101,2 44752  53.0662 204.2459 0001403 335.7715 106.7101 15.36360984    13,2026-07-29 04:38:21
44753,STARLINK-1048,1 44753C 19074AS  26210.03312500  .00044253  00000+0  32094-3 0  2103,2 44753  53.0404 195.7452 0000883 148.8332 242.6551 15.72711184    15,2026-07-29 04:38:21
